ProviderId,DataYear,FiscalYear,AHRQ_PSI_90_Score,CLABSI_Score,CAUTI_Score,SSI_Score
010001,2014,2015,3,9,9,NULL
010001,2015,2016,1,10,10,4
010001,2016,2016,1.0000,10,10,4
010005,2014,2015,1,1,3,NULL
010005,2015,2016,3,10,3,3
010005,2016,2016,3.0000,10,3,3
010006,2014,2015,5,5,3,NULL
010006,2015,2016,7,5,3,10
010006,2016,2016,7.0000,5,3,10
010007,2014,2015,7,Not Available,1,NULL
010007,2015,2016,3,Not Available,1,Not Available
010007,2016,2016,3.0000,N/A,1,N/A
010008,2014,2015,6,Not Available,Not Available,NULL
010008,2015,2016,6,Not Available,Not Available,Not Available
010008,2016,2016,6.0000,N/A,N/A,N/A
010011,2014,2015,1,9,5,NULL
010011,2015,2016,4,8,4,4
010011,2016,2016,4.0000,8,4,4
010012,2014,2015,9,Not Available,1,NULL
010012,2015,2016,9,Not Available,1,8
010012,2016,2016,9.0000,N/A,1,8
010016,2014,2015,7,3,3,NULL
010016,2015,2016,2,4,3,3
010016,2016,2016,2.0000,4,3,3
010018,2014,2015,6,Not Available,Not Available,NULL
010018,2015,2016,6,Not Available,Not Available,Not Available
010018,2016,2016,6.0000,N/A,N/A,N/A
010019,2014,2015,3,1,1,NULL
010019,2015,2016,5,1,1,3
010019,2016,2016,5.0000,1,1,3
010021,2014,2015,8,Not Available,5,NULL
010021,2015,2016,9,Not Available,4,Not Available
010021,2016,2016,9.0000,N/A,4,N/A
010022,2014,2015,5,Not Available,Not Available,NULL
010022,2015,2016,6,Not Available,Not Available,Not Available
010022,2016,2016,6.0000,N/A,N/A,N/A
010023,2014,2015,2,6,5,NULL
010023,2015,2016,1,6,5,3
010023,2016,2016,1.0000,6,5,3
010024,2014,2015,3,9,5,NULL
010024,2015,2016,4,8,8,4
010024,2016,2016,4.0000,8,8,4
010029,2014,2015,6,9,10,NULL
010029,2015,2016,4,10,8,3
010029,2016,2016,4.0000,10,8,3
010032,2014,2015,5,Not Available,Not Available,NULL
010032,2015,2016,5,Not Available,Not Available,Not Available
010032,2016,2016,5.0000,N/A,N/A,N/A
010033,2014,2015,8,9,7,NULL
010033,2015,2016,6,8,9,4
010033,2016,2016,6.0000,8,9,4
010034,2014,2015,3,Not Available,1,NULL
010034,2015,2016,5,Not Available,1,Not Available
010034,2016,2016,5.0000,N/A,1,N/A
010035,2014,2015,3,1,2,NULL
010035,2015,2016,1,1,3,5
010035,2016,2016,1.0000,1,3,5
010036,2014,2015,6,Not Available,7,NULL
010036,2015,2016,7,Not Available,3,1
010036,2016,2016,7.0000,N/A,3,1
010038,2014,2015,5,Not Available,3,NULL
010038,2015,2016,6,Not Available,10,1
010038,2016,2016,6.0000,N/A,10,1
010039,2014,2015,8,9,7,NULL
010039,2015,2016,5,9,6,6
010039,2016,2016,5.0000,9,6,6
010040,2014,2015,5,3,3,NULL
010040,2015,2016,10,3,2,1
010040,2016,2016,10.0000,3,2,1
010044,2014,2015,4,Not Available,Not Available,NULL
010044,2015,2016,5,Not Available,Not Available,Not Available
010044,2016,2016,5.0000,N/A,N/A,N/A
010045,2014,2015,8,Not Available,6,NULL
010045,2015,2016,3,Not Available,Not Available,Not Available
010045,2016,2016,3.0000,N/A,N/A,N/A
010046,2014,2015,1,9,8,NULL
010046,2015,2016,1,10,8,1
010046,2016,2016,1.0000,10,8,1
010047,2014,2015,6,Not Available,Not Available,NULL
010047,2015,2016,6,Not Available,Not Available,Not Available
010047,2016,2016,6.0000,N/A,N/A,N/A
010049,2014,2015,3,Not Available,1,NULL
010049,2015,2016,2,Not Available,1,8
010049,2016,2016,2.0000,N/A,1,8
010051,2014,2015,7,Not Available,Not Available,NULL
010051,2015,2016,6,Not Available,Not Available,Not Available
010051,2016,2016,6.0000,N/A,N/A,N/A
010052,2014,2015,6,Not Available,Not Available,NULL
010052,2015,2016,6,Not Available,Not Available,Not Available
010052,2016,2016,6.0000,N/A,N/A,N/A
010054,2014,2015,3,Not Available,3,NULL
010055,2014,2015,6,6,7,NULL
010055,2015,2016,7,7,7,4
010055,2016,2016,7.0000,7,7,4
010056,2014,2015,1,5,4,NULL
010056,2015,2016,8,5,3,5
010056,2016,2016,8.0000,5,3,5
010058,2014,2015,7,Not Available,Not Available,NULL
010058,2015,2016,6,Not Available,Not Available,Not Available
010058,2016,2016,6.0000,N/A,N/A,N/A
010059,2014,2015,5,Not Available,Not Available,NULL
010059,2015,2016,5,Not Available,Not Available,Not Available
010059,2016,2016,5.0000,N/A,N/A,N/A
010061,2014,2015,8,Not Available,10,NULL
010061,2015,2016,6,Not Available,5,1
010061,2016,2016,6.0000,N/A,5,1
010062,2014,2015,4,Not Available,6,NULL
010062,2015,2016,6,Not Available,Not Available,Not Available
010062,2016,2016,6.0000,N/A,N/A,N/A
010065,2014,2015,8,1,1,NULL
010065,2015,2016,9,1,1,4
010065,2016,2016,9.0000,1,1,4
010069,2014,2015,3,Not Available,1,NULL
010069,2015,2016,3,Not Available,1,Not Available
010069,2016,2016,3.0000,N/A,1,N/A
010073,2014,2015,5,Not Available,1,NULL
010073,2015,2016,5,Not Available,1,Not Available
010073,2016,2016,5.0000,N/A,1,N/A
010078,2014,2015,10,8,4,NULL
010078,2015,2016,10,9,6,2
010078,2016,2016,10.0000,9,6,2
010079,2014,2015,3,10,6,NULL
010079,2015,2016,4,10,6,1
010079,2016,2016,4.0000,10,6,1
010083,2014,2015,8,7,5,NULL
010083,2015,2016,6,1,1,1
010083,2016,2016,6.0000,1,1,1
010085,2014,2015,6,7,3,NULL
010085,2015,2016,7,7,2,2
010085,2016,2016,7.0000,7,2,2
010086,2014,2015,4,Not Available,Not Available,NULL
010086,2015,2016,4,Not Available,Not Available,10
010086,2016,2016,4.0000,N/A,N/A,10
010087,2014,2015,10,5,9,NULL
010087,2015,2016,8,8,9,1
010087,2016,2016,8.0000,8,9,1
010089,2014,2015,9,1,7,NULL
010089,2015,2016,8,8,6,3
010089,2016,2016,8.0000,8,6,3
010090,2014,2015,9,3,4,NULL
010090,2015,2016,9,3,4,5
010090,2016,2016,9.0000,3,4,5
010091,2014,2015,5,Not Available,Not Available,NULL
010091,2015,2016,5,Not Available,Not Available,Not Available
010091,2016,2016,5.0000,N/A,N/A,N/A
010092,2014,2015,9,6,6,NULL
010092,2015,2016,8,6,7,8
010092,2016,2016,8.0000,6,7,8
010095,2014,2015,7,Not Available,Not Available,NULL
010095,2015,2016,6,Not Available,Not Available,Not Available
010095,2016,2016,6.0000,N/A,N/A,N/A
010097,2014,2015,6,Not Available,Not Available,NULL
010097,2015,2016,6,Not Available,Not Available,Not Available
010097,2016,2016,6.0000,N/A,N/A,N/A
010099,2014,2015,6,Not Available,1,NULL
010099,2015,2016,9,Not Available,1,9
010099,2016,2016,9.0000,N/A,1,9
010100,2014,2015,10,2,6,NULL
010100,2015,2016,9,3,4,3
010100,2016,2016,9.0000,3,4,3
010101,2014,2015,9,Not Available,1,NULL
010101,2015,2016,9,Not Available,1,1
010101,2016,2016,9.0000,N/A,1,1
010102,2014,2015,7,Not Available,Not Available,NULL
010102,2015,2016,Not Available,Not Available,Not Available,Not Available
010102,2016,2016,N/A,N/A,N/A,N/A
010103,2014,2015,10,3,3,NULL
010103,2015,2016,9,6,4,2
010103,2016,2016,9.0000,6,4,2
010104,2014,2015,10,4,5,NULL
010104,2015,2016,10,4,4,2
010104,2016,2016,10.0000,4,4,2
010108,2014,2015,4,1,1,NULL
010108,2015,2016,7,Not Available,1,1
010108,2016,2016,7.0000,N/A,1,1
010109,2014,2015,3,Not Available,Not Available,NULL
010109,2015,2016,4,Not Available,Not Available,Not Available
010109,2016,2016,4.0000,N/A,N/A,N/A
010110,2014,2015,6,Not Available,Not Available,NULL
010110,2015,2016,6,Not Available,Not Available,Not Available
010110,2016,2016,6.0000,N/A,N/A,N/A
010112,2014,2015,5,Not Available,Not Available,NULL
010112,2015,2016,3,Not Available,Not Available,Not Available
010112,2016,2016,3.0000,N/A,N/A,N/A
010113,2014,2015,8,3,6,NULL
010113,2015,2016,9,5,5,4
010113,2016,2016,9.0000,5,5,4
010114,2014,2015,10,2,3,NULL
010114,2015,2016,9,7,5,6
010114,2016,2016,9.0000,7,5,6
010118,2014,2015,3,1,6,NULL
010118,2015,2016,1,6,4,6
010118,2016,2016,1.0000,6,4,6
010120,2014,2015,6,Not Available,1,NULL
010120,2015,2016,7,Not Available,1,Not Available
010120,2016,2016,7.0000,N/A,1,N/A
010125,2014,2015,6,Not Available,Not Available,NULL
010125,2015,2016,4,Not Available,Not Available,Not Available
010125,2016,2016,4.0000,N/A,N/A,N/A
010126,2014,2015,2,Not Available,5,NULL
010126,2015,2016,3,Not Available,3,1
010126,2016,2016,3.0000,N/A,3,1
010128,2014,2015,6,Not Available,Not Available,NULL
010128,2015,2016,6,Not Available,Not Available,Not Available
010128,2016,2016,6.0000,N/A,N/A,N/A
010129,2014,2015,6,Not Available,5,NULL
010129,2015,2016,6,Not Available,5,1
010129,2016,2016,6.0000,N/A,5,1
010130,2014,2015,5,1,10,NULL
010130,2015,2016,8,1,9,Not Available
010130,2016,2016,8.0000,1,9,N/A
010131,2014,2015,6,10,6,NULL
010131,2015,2016,4,10,5,4
010131,2016,2016,4.0000,10,5,4
010138,2014,2015,6,Not Available,Not Available,NULL
010138,2015,2016,6,Not Available,Not Available,Not Available
010138,2016,2016,6.0000,N/A,N/A,N/A
010139,2014,2015,9,7,7,NULL
010139,2015,2016,8,9,7,4
010139,2016,2016,8.0000,9,7,4
010144,2014,2015,9,4,9,NULL
010144,2015,2016,10,5,9,9
010144,2016,2016,10.0000,5,9,9
010146,2014,2015,6,Not Available,Not Available,NULL
