ProviderId,DataYear,SurveysCompleted,SurveyResponseRate,MeasureStartDate,MeasureEndDate
010001,2009,300 or More,27,NULL,NULL
010001,2010,300 or more,28,NULL,NULL
010001,2011,300 or more,29,NULL,NULL
010001,2012,300 or more,33,NULL,NULL
010001,2013,300 or more,33,NULL,NULL
010001,2014,300 or more,30,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010001,2015,1313,27,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010001,2016,1305,28,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010005,2009,Between 100 and 299,43,NULL,NULL
010005,2010,Between 100 and 299,32,NULL,NULL
010005,2011,300 or more,33,NULL,NULL
010005,2012,300 or more,38,NULL,NULL
010005,2013,300 or more,41,NULL,NULL
010005,2014,300 or more,39,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010005,2015,593,34,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010005,2016,616,35,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010006,2009,300 or More,32,NULL,NULL
010006,2010,300 or more,38,NULL,NULL
010006,2011,300 or more,32,NULL,NULL
010006,2012,300 or more,30,NULL,NULL
010006,2013,300 or more,28,NULL,NULL
010006,2014,300 or more,26,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010006,2015,361,23,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010006,2016,372,24,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010007,2009,300 or More,28,NULL,NULL
010007,2010,300 or more,28,NULL,NULL
010007,2011,300 or more,27,NULL,NULL
010007,2012,Between 100 and 299,28,NULL,NULL
010007,2013,Between 100 and 299,31,NULL,NULL
010007,2014,Between 100 and 299,29,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010007,2015,249,31,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010007,2016,271,32,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010008,2009,Between 100 and 299,43,NULL,NULL
010008,2010,Between 100 and 299,21,NULL,NULL
010008,2011,Between 100 and 299,25,NULL,NULL
010008,2012,Between 100 and 299,28,NULL,NULL
010008,2013,Between 100 and 299,32,NULL,NULL
010008,2014,Between 100 and 299,32,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010008,2015,66,26,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010008,2016,76,32,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010009,2009,Between 100 and 299,32,NULL,NULL
010009,2010,Between 100 and 299,30,NULL,NULL
010009,2011,Between 100 and 299,29,NULL,NULL
010010,2009,Between 100 and 299,43,NULL,NULL
010010,2010,Between 100 and 299,35,NULL,NULL
010010,2011,300 or more,37,NULL,NULL
010011,2009,300 or More,33,NULL,NULL
010011,2010,300 or more,32,NULL,NULL
010011,2011,300 or more,32,NULL,NULL
010011,2012,300 or more,30,NULL,NULL
010011,2013,300 or more,34,NULL,NULL
010011,2014,300 or more,37,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010011,2015,2052,30,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010011,2016,2130,29,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010012,2009,300 or More,29,NULL,NULL
010012,2010,300 or more,26,NULL,NULL
010012,2011,300 or more,27,NULL,NULL
010012,2012,300 or more,26,NULL,NULL
010012,2013,300 or more,31,NULL,NULL
010012,2014,300 or more,33,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010012,2015,636,32,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010012,2016,587,29,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010015,2009,Between 100 and 299,42,NULL,NULL
010015,2010,Between 100 and 299,33,NULL,NULL
010015,2011,Between 100 and 299,27,NULL,NULL
010016,2009,300 or More,51,NULL,NULL
010016,2010,300 or more,35,NULL,NULL
010016,2011,300 or more,31,NULL,NULL
010016,2012,300 or more,31,NULL,NULL
010016,2013,300 or more,29,NULL,NULL
010016,2014,300 or more,28,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010016,2015,1043,27,2014-04-01 00:00:00.000,2015-03-31 00:00:00.000
010016,2016,1082,27,2014-10-01 00:00:00.000,2015-09-30 00:00:00.000
010018,2009,Fewer than 100,36,NULL,NULL
