ProviderId,DataYear,BaseScore,ConsistencyScore
010001,2013,35,18
010001,2014,17,16
010001,2015,2,13
010001,2016,2,13
010005,2013,53,20
010005,2014,51,20
010005,2015,45,20
010005,2016,45,20
010006,2013,8,13
010006,2014,9,12
010006,2015,32,17
010006,2016,32,17
010007,2013,10,12
010007,2014,40,17
010007,2015,18,10
010007,2016,18,10
010008,2014,30,15
010008,2015,Not Available,Not Available
010008,2016,Not Available,Not Available
010011,2013,14,19
010011,2014,11,16
010011,2015,5,16
010011,2016,5,16
010012,2013,25,19
010012,2014,31,20
010012,2015,31,20
010012,2016,31,20
010016,2013,18,17
010016,2014,10,15
010016,2015,7,16
010016,2016,7,16
010019,2013,37,20
010019,2014,24,20
010019,2015,24,20
010019,2016,24,20
010021,2013,28,15
010021,2014,34,19
010021,2015,40,20
010021,2016,40,20
010022,2014,55,20
010022,2015,Not Available,Not Available
010022,2016,Not Available,Not Available
010023,2013,25,19
010023,2014,16,17
010023,2015,5,17
010023,2016,5,17
010024,2013,43,19
010024,2014,30,20
010024,2015,19,18
010024,2016,19,18
010025,2013,25,17
010029,2013,53,20
010029,2014,45,20
010029,2015,26,20
010029,2016,26,20
010032,2014,33,19
010032,2015,Not Available,Not Available
010032,2016,Not Available,Not Available
010033,2013,42,20
010033,2014,47,20
010033,2015,44,20
010033,2016,44,20
010034,2013,43,17
010034,2014,59,20
010034,2015,64,20
010034,2016,64,20
010035,2013,36,20
010035,2014,38,20
010035,2015,31,20
010035,2016,31,20
010036,2013,22,19
010036,2014,24,17
010036,2015,9,16
010036,2016,9,16
010038,2013,9,13
010038,2014,8,11
010038,2015,27,16
010038,2016,27,16
010039,2013,23,19
010039,2014,27,20
010039,2015,25,20
010039,2016,25,20
010040,2013,21,19
010040,2014,10,19
010040,2015,1,13
010040,2016,1,13
010044,2014,72,20
010044,2015,Not Available,Not Available
010044,2016,Not Available,Not Available
010045,2013,75,20
010045,2014,80,20
010045,2015,74,20
010045,2016,74,20
010046,2013,8,14
010046,2014,3,12
010046,2015,23,14
010046,2016,23,14
010047,2014,69,20
010047,2015,59,20
010047,2016,59,20
010049,2013,38,20
010049,2014,24,20
010049,2015,12,18
010049,2016,12,18
010050,2013,48,17
010051,2015,Not Available,Not Available
010051,2016,Not Available,Not Available
010052,2014,21,13
010052,2015,19,17
010052,2016,19,17
010054,2013,27,18
010054,2014,6,15
010055,2013,52,20
010055,2014,32,20
010055,2015,34,20
010055,2016,34,20
010056,2013,27,20
010056,2014,31,20
010056,2015,30,20
010056,2016,30,20
010058,2015,Not Available,Not Available
010058,2016,Not Available,Not Available
010059,2014,31,18
010059,2015,30,17
010059,2016,30,17
010061,2013,34,18
010061,2014,40,20
010061,2015,28,18
010061,2016,28,18
010062,2013,4,12
010062,2014,36,17
010062,2015,46,20
010062,2016,46,20
010065,2013,58,20
010065,2014,59,20
010065,2015,59,20
010065,2016,59,20
010069,2013,24,17
010069,2014,39,19
010073,2014,48,19
010073,2015,52,19
010073,2016,52,19
010078,2013,7,17
010078,2014,14,18
010078,2015,8,16
010078,2016,8,16
010079,2013,32,18
010079,2014,32,20
010079,2015,41,20
010079,2016,41,20
010083,2013,17,19
010083,2014,49,20
010083,2015,28,19
010083,2016,28,19
010085,2013,37,20
010085,2014,31,20
010085,2015,15,19
010085,2016,15,19
010086,2013,51,20
010086,2014,29,20
010086,2015,19,19
010086,2016,19,19
010087,2013,30,20
010087,2014,27,20
010087,2015,27,20
010087,2016,27,20
010089,2013,29,20
010089,2014,8,19
010089,2015,17,18
010089,2016,17,18
010090,2013,14,19
010090,2014,15,19
010090,2015,19,19
010090,2016,19,19
010091,2014,9,12
010091,2015,24,12
010091,2016,24,12
010092,2013,26,19
010092,2014,24,20
010092,2015,15,18
010092,2016,15,18
010095,2015,Not Available,Not Available
010095,2016,Not Available,Not Available
010097,2014,44,18
010097,2015,55,19
010097,2016,55,19
010099,2013,49,19
010099,2014,37,19
010099,2015,55,20
010099,2016,55,20
010100,2013,36,20
010100,2014,46,20
010100,2015,35,20
010100,2016,35,20
010101,2013,20,18
010101,2014,8,16
010101,2015,13,16
010101,2016,13,16
010103,2013,38,20
010103,2014,31,20
010103,2015,24,20
010103,2016,24,20
010104,2013,42,20
010104,2014,42,20
010104,2015,35,20
010104,2016,35,20
010108,2013,57,20
010108,2014,40,20
010108,2015,40,19
010108,2016,40,19
010109,2013,61,20
010109,2014,Not Available,Not Available
010109,2015,Not Available,Not Available
010109,2016,Not Available,Not Available
010112,2013,11,15
010112,2014,35,14
010112,2015,25,16
010112,2016,25,16
010113,2013,32,19
010113,2014,32,20
010113,2015,27,20
010113,2016,27,20
010114,2013,9,17
010114,2014,6,14
010114,2015,4,15
010114,2016,4,15
010118,2013,8,15
010118,2014,17,13
010118,2015,6,12
010118,2016,6,12
010120,2013,50,19
010120,2014,69,20
010120,2015,70,20
010120,2016,70,20
010125,2013,25,16
010125,2014,31,18
010125,2015,38,19
010125,2016,38,19
010126,2013,18,15
010126,2014,43,19
010126,2015,34,17
010126,2016,34,17
010128,2015,Not Available,Not Available
010128,2016,Not Available,Not Available
010129,2013,52,18
010129,2014,43,20
010129,2015,43,20
010129,2016,43,20
010130,2014,62,20
010130,2015,52,20
010130,2016,52,20
010131,2013,28,20
010131,2014,31,20
010131,2015,8,16
010131,2016,8,16
010139,2013,31,19
010139,2014,27,20
010139,2015,6,18
010139,2016,6,18
010144,2013,34,20
010144,2014,17,17
010144,2015,23,19
010144,2016,23,19
010146,2013,41,19
010146,2014,19,19
010148,2014,35,20
010148,2015,54,20
010148,2016,54,20
010149,2013,35,20
010149,2014,44,20
010149,2015,35,20
010149,2016,35,20
010150,2013,42,20
010150,2014,31,18
010150,2015,29,18
010150,2016,29,18
010157,2013,10,17
010157,2014,19,17
010157,2015,28,16
010157,2016,28,16
010158,2013,31,19
010158,2014,23,18
010158,2015,38,20
010158,2016,38,20
010164,2013,42,20
010164,2014,30,19
010164,2015,21,19
010164,2016,21,19
010168,2013,60,20
010168,2014,58,20
010168,2015,65,20
010168,2016,65,20
010169,2014,21,18
010169,2015,40,20
010169,2016,40,20
020001,2013,19,16
020001,2014,13,19
020001,2015,11,17
020001,2016,11,17
020006,2013,31,20
020006,2014,16,18
020006,2015,10,14
020006,2016,10,14
020008,2013,39,19
020008,2014,29,18
020008,2015,50,20
020008,2016,50,20
020012,2013,31,18
020012,2014,35,20
020012,2015,35,20
020012,2016,35,20
020017,2013,16,19
020017,2014,7,16
020017,2015,7,16
020017,2016,7,16
020018,2014,22,11
020018,2015,8,9
020018,2016,8,9
020024,2013,39,20
020024,2014,21,19
020024,2015,17,16
020024,2016,17,16
