ProviderId,DataYear,OP_10_Score,OP_11_Score,OP_13_Score,OP_14_Score,OP_8_Score,OP_9_Score,OP_10_Sample,OP_11_Sample,OP_13_Sample,OP_14_Sample,OP_8_Sample,OP_9_Sample,MeasureStartDate,MeasureEndDate
010001,2010,0.058,0.005,NULL,NULL,29.3,6.2,1937,1115,NULL,NULL,505,2930,NULL,NULL
010001,2013,Not Available,2.3,8.4,2.9,32.8,5.7,Not Available,1235,739,1850,411,3475,NULL,NULL
010001,2016,6.4,0.9,7.1,2.4,38.1,6.9,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010005,2014,12.4,9.7,6.9,4.1,43.5,3.4,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010006,2012,0.077,0.074,4.7,5.6,Not Available,6.2,1348,769,64,1015,Not Available,1349,NULL,NULL
010006,2015,10.7,4.3,Not Available,3.9,Not Available,7.8,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010007,2011,0.502,0.396,NULL,NULL,N/A,9.4,245,144,NULL,NULL,N/A,616,NULL,NULL
010007,2014,34.7,1.5,Not Available,Not Available,Not Available,12.8,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010008,2012,0.102,Not Available,Not Available,Not Available,Not Available,13,98,Not Available,Not Available,Not Available,Not Available,77,NULL,NULL
010008,2016,3.6,Not Available,Not Available,0.6,Not Available,8.2,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010009,2011,0.598,N/A,NULL,NULL,N/A,14.9,112,N/A,NULL,NULL,N/A,282,NULL,NULL
010011,2012,0.093,0.201,7,3.7,49.3,Not Available,504,139,71,733,71,Not Available,NULL,NULL
010012,2010,0.110,0.100,NULL,NULL,31.8,7.5,392,210,NULL,NULL,44,425,NULL,NULL
010012,2013,14.6,28.1,4.4,4.3,Not Available,4.3,480,192,114,398,Not Available,723,NULL,NULL
010012,2016,6.1,10.8,3.1,Not Available,Not Available,4.2,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010015,2011,0.589,0.435,NULL,NULL,N/A,4.5,107,46,NULL,NULL,N/A,266,NULL,NULL
010016,2012,0.243,0.01,3.9,Not Available,39.7,11.4,614,290,103,Not Available,131,1198,NULL,NULL
010016,2015,33.6,2.0,6.8,4.0,Not Available,9.4,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010018,2012,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL
010018,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010019,2010,0.100,0.007,NULL,NULL,35.8,4.4,649,450,NULL,NULL,204,948,NULL,NULL
010021,2016,4.2,1.3,1.5,Not Available,52.9,9.9,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010022,2010,0.267,0.026,NULL,NULL,53.6,0.8,131,76,NULL,NULL,28,246,NULL,NULL
010023,2012,0.615,0.047,Not Available,2.5,33.3,6.6,535,234,Not Available,672,156,3749,NULL,NULL
010023,2015,11.2,1.0,Not Available,3.8,Not Available,4.9,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010024,2010,0.132,0.338,NULL,NULL,35.8,0.0,499,272,NULL,NULL,165,13,NULL,NULL
010024,2013,8.2,2.3,Not Available,2.9,42.2,3.6,645,343,Not Available,916,206,1491,NULL,NULL
010024,2016,9.1,0.2,Not Available,2.1,45.7,2.3,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010025,2011,0.667,0.180,NULL,NULL,39.4,16.0,258,183,NULL,NULL,66,833,NULL,NULL
010027,2011,0.021,N/A,NULL,NULL,N/A,N/A,97,N/A,NULL,NULL,N/A,N/A,NULL,NULL
010029,2014,52.9,0.8,5.5,3.8,37.8,7.3,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010032,2012,0.5,Not Available,Not Available,Not Available,Not Available,8.4,60,Not Available,Not Available,Not Available,Not Available,83,NULL,NULL
