ProviderId,DataYear,CTId_3_PNId_4_AvgSpendHosp,CTId_6_PNId_2_AvgSpendHosp,CTId_5_PNId_1_AvgSpendHosp,CTId_4_PNId_2_AvgSpendHosp,CTId_3_PNId_1_AvgSpendHosp,CTId_3_PNId_2_AvgSpendHosp,CTId_1_PNId_2_AvgSpendHosp,CTId_7_PNId_4_AvgSpendHosp,CTId_5_PNId_4_AvgSpendHosp,CTId_7_PNId_1_AvgSpendHosp,CTId_2_PNId_1_AvgSpendHosp,CTId_8_PNId_3_AvgSpendHosp,CTId_4_PNId_4_AvgSpendHosp,CTId_2_PNId_4_AvgSpendHosp,CTId_5_PNId_2_AvgSpendHosp,CTId_4_PNId_1_AvgSpendHosp,CTId_6_PNId_4_AvgSpendHosp,CTId_1_PNId_4_AvgSpendHosp,CTId_7_PNId_2_AvgSpendHosp,CTId_6_PNId_1_AvgSpendHosp,CTId_2_PNId_2_AvgSpendHosp,CTId_1_PNId_1_AvgSpendHosp,CTId_3_PNId_4_AvgSpendState,CTId_6_PNId_2_AvgSpendState,CTId_5_PNId_1_AvgSpendState,CTId_4_PNId_2_AvgSpendState,CTId_3_PNId_1_AvgSpendState,CTId_3_PNId_2_AvgSpendState,CTId_1_PNId_2_AvgSpendState,CTId_7_PNId_4_AvgSpendState,CTId_5_PNId_4_AvgSpendState,CTId_7_PNId_1_AvgSpendState,CTId_2_PNId_1_AvgSpendState,CTId_8_PNId_3_AvgSpendState,CTId_4_PNId_4_AvgSpendState,CTId_2_PNId_4_AvgSpendState,CTId_5_PNId_2_AvgSpendState,CTId_4_PNId_1_AvgSpendState,CTId_6_PNId_4_AvgSpendState,CTId_1_PNId_4_AvgSpendState,CTId_7_PNId_2_AvgSpendState,CTId_6_PNId_1_AvgSpendState,CTId_2_PNId_2_AvgSpendState,CTId_1_PNId_1_AvgSpendState
010001,2014,$0,$138,"$2,928",$0,$961,$19,$405,$0,"$9,412","$1,905",$124,"$19,234",$0,$20,$5,$155,$0,"$1,615",$1,$582,$6,$957,$0,$76,"$2,567",$2,$885,$16,$442,$0,"$8,745","$2,313",$130,"$18,344",$0,$30,$5,$152,$0,"$1,445",$2,$527,$9,$997
010001,2015,$0,$160,"$2,943",$1,$988,$12,$462,$0,"$8,981","$1,946",$141,"$19,025",$0,$27,$6,$137,$0,"$1,587",$1,$654,$6,$974,$0,$85,"$2,607",$1,$898,$14,$492,$0,"$8,723","$2,437",$124,"$18,597",$0,$32,$6,$141,$0,"$1,435",$2,$596,$9,$995
010001,2016,$0,$160,"$2,943",$1,$988,$12,$462,$0,"$8,981","$1,946",$141,"$19,025",$0,$27,$6,$137,$0,"$1,587",$1,$654,$6,$974,$0,$85,"$2,607",$1,$898,$14,$492,$0,"$8,723","$2,437",$124,"$18,597",$0,$32,$6,$141,$0,"$1,435",$2,$596,$9,$995
010005,2014,$0,$90,"$1,844",$5,$818,$28,$327,$0,"$7,277","$3,648",$106,"$16,590",$0,$17,$0,$203,$0,$933,$6,$586,$9,$693,$0,$76,"$2,567",$2,$885,$16,$442,$0,"$8,745","$2,313",$130,"$18,344",$0,$30,$5,$152,$0,"$1,445",$2,$527,$9,$997
010005,2015,$0,$91,"$1,865",$0,$836,$19,$446,$0,"$7,186","$3,488",$103,"$16,566",$0,$17,$0,$179,$0,$934,$1,$659,$6,$736,$0,$85,"$2,607",$1,$898,$14,$492,$0,"$8,723","$2,437",$124,"$18,597",$0,$32,$6,$141,$0,"$1,435",$2,$596,$9,$995
010005,2016,$0,$91,"$1,865",$0,$836,$19,$446,$0,"$7,186","$3,488",$103,"$16,566",$0,$17,$0,$179,$0,$934,$1,$659,$6,$736,$0,$85,"$2,607",$1,$898,$14,$492,$0,"$8,723","$2,437",$124,"$18,597",$0,$32,$6,$141,$0,"$1,435",$2,$596,$9,$995
010006,2014,$0,$59,"$2,328",$2,$864,$26,$430,$0,"$8,695","$2,698",$108,"$18,032",$0,$17,$5,$138,$0,"$1,353",$2,$411,$6,$892,$0,$76,"$2,567",$2,$885,$16,$442,$0,"$8,745","$2,313",$130,"$18,344",$0,$30,$5,$152,$0,"$1,445",$2,$527,$9,$997
010006,2015,$0,$74,"$2,445",$2,$902,$15,$464,$0,"$8,700","$2,372",$99,"$18,035",$0,$25,$1,$129,$0,"$1,371",$1,$532,$6,$898,$0,$85,"$2,607",$1,$898,$14,$492,$0,"$8,723","$2,437",$124,"$18,597",$0,$32,$6,$141,$0,"$1,435",$2,$596,$9,$995
010006,2016,$0,$74,"$2,445",$2,$902,$15,$464,$0,"$8,700","$2,372",$99,"$18,035",$0,$25,$1,$129,$0,"$1,371",$1,$532,$6,$898,$0,$85,"$2,607",$1,$898,$14,$492,$0,"$8,723","$2,437",$124,"$18,597",$0,$32,$6,$141,$0,"$1,435",$2,$596,$9,$995
010007,2014,$0,$12,$929,$0,"$1,026",$26,$360,$0,"$5,642","$4,248",$57,"$14,025",$0,$12,$3,$80,$0,$674,$4,$326,$6,$620,$0,$76,"$2,567",$2,$885,$16,$442,$0,"$8,745","$2,313",$130,"$18,344",$0,$30,$5,$152,$0,"$1,445",$2,$527,$9,$997
