ProviderId,DataYear,MSPB_1_Score,MeasureStartDate,MeasureEndDate
010001,2012,1,NULL,NULL
010001,2013,1.00,NULL,NULL
010001,2014,0.97,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010001,2015,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010001,2016,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010005,2012,1.03,NULL,NULL
010005,2013,1.00,NULL,NULL
010005,2014,0.98,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010005,2015,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010005,2016,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010006,2012,1,NULL,NULL
010006,2013,1.00,NULL,NULL
010006,2014,0.99,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010006,2015,0.95,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010006,2016,0.95,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010007,2012,1.03,NULL,NULL
010007,2013,1.00,NULL,NULL
010007,2014,1.02,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010007,2015,1.07,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010007,2016,1.07,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010008,2012,1.15,NULL,NULL
010008,2013,0.99,NULL,NULL
010008,2014,0.98,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010008,2015,1.01,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010008,2016,1.01,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010011,2012,0.99,NULL,NULL
010011,2013,0.98,NULL,NULL
010011,2014,0.97,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010011,2015,0.99,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010011,2016,0.99,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010012,2012,1.03,NULL,NULL
010012,2013,1.00,NULL,NULL
010012,2014,1.01,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010012,2015,1.06,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010012,2016,1.06,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010016,2012,1.01,NULL,NULL
010016,2013,1.01,NULL,NULL
010016,2014,1.01,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010016,2015,1.00,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010016,2016,1.00,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010018,2012,Not Available,NULL,NULL
010018,2013,Not Available,NULL,NULL
010018,2014,Not Available,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010018,2015,Not Available,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010018,2016,Not Available,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010019,2012,1.09,NULL,NULL
010019,2013,1.07,NULL,NULL
