ProviderId,DataYear,MId_60_PTId_7_ProcedureVolume,MId_60_PTId_1_ProcedureVolume,MId_60_PTId_4_ProcedureVolume,MId_60_PTId_2_ProcedureVolume,MId_60_PTId_5_ProcedureVolume,MId_60_PTId_8_ProcedureVolume,MId_60_PTId_9_ProcedureVolume,MId_60_PTId_3_ProcedureVolume,MId_60_PTId_6_ProcedureVolume
010001,2014,NULL,11,1019,283,1119,NULL,579,1017,204
010001,2015,0,8,1209,306,1399,2,513,100,198
010001,2016,117,1000,825,14,964,182,5116,4150,527
010005,2014,NULL,1310,2118,144,2181,NULL,8372,6133,1452
010005,2015,32,281,279,116,1023,45,5862,3473,1047
010005,2016,48,185,101,87,568,62,1305,4634,494
010006,2014,NULL,5394,381,0,274,NULL,306,4936,144
010006,2015,71,919,281,0,192,14,53,5470,61
010006,2016,54,381,234,0,165,45,62,5402,76
010007,2014,NULL,16,2,0,40,NULL,15,608,0
010007,2015,6,15,26,94,10,0,21,403,0
010007,2016,34,22,112,99,24,0,40,365,10
010008,2014,NULL,0,0,0,0,NULL,0,313,0
010008,2015,0,0,0,0,0,0,17,239,0
010008,2016,0,0,0,0,0,0,22,240,0
010011,2014,NULL,725,381,0,574,NULL,92,2061,906
010011,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
010011,2016,4071,4366,709,164,1115,364,313,62,2251
010012,2014,NULL,172,78,96,128,NULL,68,2818,1102
010012,2015,6,149,37,113,365,0,731,1904,456
010012,2016,29,69,270,80,42,6,171,325,286
010016,2014,NULL,462,581,0,957,NULL,1232,2977,154
010016,2015,540,278,552,0,1325,16,1567,3393,112
010016,2016,182,216,486,0,1262,29,1764,2918,72
010018,2014,NULL,0,0,4342,0,NULL,262,0,0
010018,2015,0,0,0,6036,0,0,260,0,0
010018,2016,0,0,0,6084,0,0,301,0,0
010019,2014,NULL,33,351,355,242,NULL,18,2517,116
010019,2015,35,102,552,424,426,5,1204,1994,775
010019,2016,42,147,230,478,219,19,127,4685,212
010021,2014,NULL,4,139,0,150,NULL,559,632,147
010021,2015,3,5,69,0,120,3,28,283,111
010021,2016,2,10,13,0,143,9,58,618,139
010022,2014,NULL,38,9,113,3,NULL,5,758,27
010022,2015,0,3,0,121,0,0,4,328,98
010022,2016,0,2,2,149,0,0,11,621,99
010023,2014,NULL,909,394,153,145,NULL,64,2702,331
010023,2015,1148,591,327,278,432,24,376,228,88
010023,2016,24,108,18,1,9,12,11,12,8
010024,2014,NULL,808,450,24,315,NULL,48,685,111
010024,2015,25,554,674,31,438,3,80,914,192
010024,2016,48,591,606,54,529,5,106,1441,171
010029,2014,NULL,1034,625,872,1258,NULL,64,1582,11
010029,2015,46,1942,819,941,1246,43,1727,2595,1737
010029,2016,45,1835,518,1119,1018,2,98,2504,246
010032,2014,NULL,0,0,0,0,NULL,0,238,0
