ProviderId,DataYear,PAYM_30_AMI_Payment,PAYM_30_HF_Payment,PAYM_30_PN_Payment,PAYM_30_AMI_LowerEstimate,PAYM_30_HF_LowerEstimate,PAYM_30_PN_LowerEstimate,PAYM_30_AMI_HigherEstimate,PAYM_30_HF_HigherEstimate,PAYM_30_PN_HigherEstimate,PAYM_30_AMI_Denominator,PAYM_30_HF_Denominator,PAYM_30_PN_Denominator,PAYM_30_AMI_NationalComparisonCategory,PAYM_30_HF_NationalComparisonCategory,PAYM_30_PN_NationalComparisonCategory
010001,2015,"$21,376","$14,740","$15,263","$20,320","$14,029","$14,285","$22,521","$15,533","$16,295",681,733,367,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010006,2014,20297,NULL,NULL,18894,NULL,NULL,21837,NULL,NULL,290,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010007,2016,Not Available,"$13,676","$12,844",Not Available,"$12,073","$11,589",Not Available,"$15,326","$14,060",Not Available,93,170,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010008,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010011,2014,21477,NULL,NULL,19815,NULL,NULL,23264,NULL,NULL,234,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010016,2014,20919,NULL,NULL,19284,NULL,NULL,22792,NULL,NULL,210,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010019,2015,"$21,489","$15,801","$13,894","$18,455","$14,671","$12,955","$25,259","$17,061","$14,888",29,311,344,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010021,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010022,2015,Not Available,"$15,281","$12,134",Not Available,"$12,939","$10,810",Not Available,"$17,941","$13,396",Not Available,31,108,Number of Cases Too Small,No Different than the National Average Payment,Less than the National Average Payment
010024,2015,"$24,105","$16,242","$14,039","$22,164","$15,237","$13,133","$26,283","$17,273","$14,961",243,459,347,Greater than the National Average Payment,Greater than the National Average Payment,No Different than the National Average Payment
010029,2015,"$21,744","$13,859","$12,773","$20,171","$13,100","$11,916","$23,400","$14,654","$13,654",271,540,302,No Different than the National Average Payment,Less than the National Average Payment,Less than the National Average Payment
010033,2015,"$20,233","$14,736","$14,840","$18,821","$13,861","$13,951","$21,810","$15,682","$15,723",271,466,417,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010034,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010036,2016,Not Available,"$13,543","$12,546",Not Available,"$12,326","$11,556",Not Available,"$14,948","$13,509",Not Available,157,249,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010038,2016,"$23,782","$17,081","$13,727","$21,071","$15,420","$12,499","$26,940","$18,961","$14,973",68,140,170,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010039,2015,"$20,858","$16,212","$15,002","$20,022","$15,648","$14,402","$21,731","$16,830","$15,630","1,067","1,406",906,Less than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
010044,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010045,2016,Not Available,"$13,499","$12,820",Not Available,"$11,917","$11,614",Not Available,"$15,240","$14,005",Not Available,79,161,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010046,2016,"$23,847","$16,296","$15,639","$21,069","$15,036","$14,375","$26,883","$17,593","$16,923",75,262,239,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010049,2015,Not Available,"$13,116","$12,023",Not Available,"$11,688","$10,885",Not Available,"$14,715","$13,172",Not Available,110,156,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010051,2016,Not Available,"$13,706","$14,090",Not Available,"$11,837","$11,687",Not Available,"$15,920","$16,546",Not Available,42,25,Number of Cases Too Small,Less than the National Average Payment,No Different than the National Average Payment
010052,2015,Not Available,"$12,676","$11,848",Not Available,"$10,626","$10,577",Not Available,"$15,140","$13,248",Not Available,27,96,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010056,2015,"$22,788","$14,892","$15,268","$21,139","$13,946","$14,449","$24,534","$15,875","$16,132",276,422,515,No Different than the National Average Payment,No Different than the National Average Payment,Greater than the National Average Payment
010058,2016,Not Available,Not Available,"$13,558",Not Available,Not Available,"$11,896",Not Available,Not Available,"$15,322",Not Available,Not Available,77,Number of Cases Too Small,Number of Cases Too Small,No Different than the National Average Payment
010059,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010061,2015,Not Available,"$12,554","$12,409",Not Available,"$11,321","$11,491",Not Available,"$13,988","$13,324",Not Available,128,273,Number of Cases Too Small,Less than the National Average Payment,Less than the National Average Payment
010001,2016,"$21,804","$15,659","$15,089","$20,744","$14,884","$14,133","$22,932","$16,446","$16,018",707,754,404,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010005,2014,20614,NULL,NULL,17854,NULL,NULL,23776,NULL,NULL,40,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010006,2015,"$20,247","$14,784","$14,018","$18,856","$14,027","$13,344","$21,735","$15,608","$14,706",303,631,675,Less than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010007,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
010008,2016,Not Available,"$15,274","$14,482",Not Available,"$13,072","$12,600",Not Available,"$18,082","$16,435",Not Available,25,61,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010012,2016,"$22,997","$16,722","$15,449","$20,910","$15,113","$14,119","$25,353","$18,491","$16,795",143,145,193,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010016,2015,"$21,268","$15,281","$14,494","$19,589","$14,166","$13,482","$23,114","$16,425","$15,496",207,313,317,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010018,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
010021,2016,Not Available,"$17,053","$14,645",Not Available,"$15,075","$13,214",Not Available,"$19,308","$16,113",Not Available,83,126,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010023,2015,"$21,168","$17,255","$14,480","$19,582","$16,134","$13,161","$22,817","$18,381","$15,773",270,408,156,No Different than the National Average Payment,Greater than the National Average Payment,No Different than the National Average Payment
010024,2016,"$24,344","$16,363","$14,629","$22,409","$15,366","$13,716","$26,404","$17,346","$15,492",249,455,421,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
010029,2014,21642,NULL,NULL,19971,NULL,NULL,23267,NULL,NULL,263,NULL,NULL,No Different than the National Average Payment,NULL,NULL
010032,2015,Not Available,"$13,952","$12,862",Not Available,"$11,937","$11,317",Not Available,"$16,244","$14,395",Not Available,39,90,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
010034,2015,Not Available,"$13,643","$13,925",Not Available,"$12,187","$12,399",Not Available,"$15,432","$15,430",Not Available,92,104,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
